eq_id,shareClassFIGI,legal_name
EQ0000242,BBG001S5PR99,CHURCH & DWIGHT CO INC
EQ0000243,BBG001S5PRP1,QATAR NATIONAL BANK
EQ0000244,BBG001S5PRR9,VANACHAI GROUP PUB CO LTD
EQ0000246,BBG001S5PS51,VEKEN TECHNOLOGY CO LTD-A
EQ0000247,BBG001S5PSK4,BEACON FINANCIAL CORP
EQ0000248,BBG001S5PSN1,PILGRIM'S PRIDE CORP
EQ0000249,BBG001S5PSQ8,SERIAL SYSTEM LTD
EQ0000250,BBG001S5PT68,OMAI GOLD MINES CORP
EQ0000251,BBG001S5PTB2,PEOPLE'S GARMENT PUB CO LTD
EQ0000252,BBG001S5PTK2,XCEL BRANDS INC
EQ0000253,BBG001S5PTM0,CINCINNATI FINANCIAL CORP
EQ0000254,BBG001S5PTW9,WESTPORT FUEL SYSTEMS INC
EQ0000255,BBG001S5PV54,EMMIS CORP
EQ0000256,BBG001S5PVD5,GENERAL ELECTRIC
EQ0000257,BBG001S5PVM5,COLGATE-PALMOLIVE CO
EQ0000258,BBG001S5PVP2,SPRINTEX LTD
EQ0000259,BBG001S5PVX3,QBE INSURANCE GROUP LTD
EQ0000260,BBG001S5PW16,RUENTEX INDUSTRIES LTD
EQ0000261,BBG001S5PW43,CLEVELAND-CLIFFS INC
EQ0000262,BBG001S5PW98,CLEAN HARBORS INC
EQ0000263,BBG001S5PWL4,BOTANIX PHARMACEUTICALS LTD
EQ0000264,BBG001S5PWN2,REWARD WOOL INDUSTRY CORP
EQ0000265,BBG001S5PWR8,TRK CORP
EQ0000266,BBG001S5PX05,TGX ENERGY & RESOURCES INC
EQ0000267,BBG001S5PX50,CLOROX COMPANY
EQ0000268,BBG001S5PXG8,COMMERCIAL METALS CO
EQ0000269,BBG001S5PXL2,COMCAST CORP-CLASS A
EQ0000270,BBG001S5PY94,FURUKAWA CO LTD
EQ0000271,BBG001S5PYJ3,CMS ENERGY CORP
EQ0000272,BBG001S5PYN8,COMTECH TELECOMMUNICATIONS
EQ0000273,BBG001S5PYP6,COMTEX NEWS NETWORK INC
EQ0000274,BBG001S5PYX7,CNA FINANCIAL CORP
EQ0000275,BBG001S5PZH2,CONMED CORP
EQ0000276,BBG001S5PZN5,COHEN & STEERS INC
EQ0000277,BBG001S5Q024,UNITY BANCORP INC
EQ0000278,BBG001S5Q0M2,IGO LTD
EQ0000279,BBG001S5Q0W1,COCA-COLA CONSOLIDATED INC
EQ0000280,BBG001S5Q1H6,COOPER COS INC/THE
EQ0000281,BBG001S5Q1P7,ANIXA BIOSCIENCES INC
EQ0000282,BBG001S5Q1T3,NAVIGATOR CO SA/THE
EQ0000283,BBG001S5Q2B0,THE CAMPBELL'S COMPANY
EQ0000284,BBG001S5Q2C9,CENTRAL PACIFIC FINANCIAL CO
EQ0000285,BBG001S5Q2P5,CAPITAL PROPERTIES INC-CL A
EQ0000286,BBG001S5Q300,PERSPECTIVE THERAPEUTICS INC
EQ0000287,BBG001S5Q337,NATHAN'S FAMOUS INC
EQ0000288,BBG001S5Q355,US GLOBAL NANOSPACE INC
EQ0000289,BBG001S5Q3C7,GOOI GLOBAL INC
EQ0000290,BBG001S5Q3F4,CPS TECHNOLOGIES CORP
EQ0000291,BBG001S5Q4W3,SQUIRREL MEDIA SA
EQ0000292,BBG001S5Q532,CERMETEK MICROELECTRNICS INC
EQ0000293,BBG001S5Q550,WEBUILD SPA
EQ0000294,BBG001S5Q5B3,ENCOMPASS HEALTH CORP
EQ0000295,BBG001S5Q5M1,CARPENTER TECHNOLOGY
EQ0000296,BBG001S5Q5Z7,ASIA CEMENT CORP
EQ0000297,BBG001S5Q6J3,NTC INDUSTRIES LTD
EQ0000298,BBG001S5Q6R4,CARLISLE COS INC
EQ0000299,BBG001S5Q6T2,DEUTZ AG
EQ0000300,BBG001S5Q6V9,CAMDEN PROPERTY TRUST
EQ0000301,BBG001S5Q738,FLUOR CORP
EQ0000302,BBG001S5Q756,CSP INC
EQ0000303,BBG001S5Q7P4,CAPITAL SOUTHWEST CORP
EQ0000304,BBG001S5Q7Q3,CSX CORP
EQ0000305,BBG001S5Q7V7,BLACKSTONE MORTGAGE TRU-CL A
EQ0000306,BBG001S5Q836,NORDICUS PARTNERS CORP
EQ0000307,BBG001S5Q8G2,LUMEN TECHNOLOGIES INC
EQ0000308,BBG001S5Q8H1,PLAINTREE SYSTEMS INC
EQ0000309,BBG001S5Q8J9,NADEEM TEXTILE MILLS LTD
EQ0000311,BBG001S5Q8T8,AFC AJAX
EQ0000312,BBG001S5Q8Y2,CTS CORP
EQ0000313,BBG001S5Q916,DJS STOCK & SHARES LTD
EQ0000314,BBG001S5Q9F1,ENZYME ENVIRONMENTAL SOLUTIO
EQ0000315,BBG001S5Q9M3,CUMMINS INC
EQ0000316,BBG001S5Q9N2,CATHAY REAL ESTATE DEVELOPME
EQ0000317,BBG001S5Q9Z9,KERUR HOLDINGS LTD
EQ0000318,BBG001S5QBC9,CHICAGO RIVET & MACHINE CO
EQ0000319,BBG001S5QBD8,CVS HEALTH CORP
EQ0000320,BBG001S5QBK0,CURTISS-WRIGHT CORP
EQ0000321,BBG001S5QC19,UNIVERSAL INSURANCE HOLDINGS
EQ0000322,BBG001S5QC28,CYANOTECH CORP
EQ0000323,BBG001S5QC55,COMPUTERSHARE LTD
EQ0000324,BBG001S5QCB8,KBS INDIA LTD
EQ0000325,BBG001S5QCL7,LADRX CORP
EQ0000326,BBG001S5QCP3,DOMINION ENERGY INC
EQ0000327,BBG001S5QCW5,DATA I/O CORP
EQ0000328,BBG001S5QD62,PACWEST EQUITIES INC
EQ0000329,BBG001S5QDS8,BYRNA TECHNOLOGIES INC
EQ0000330,BBG001S5QDV4,DONALDSON CO INC
EQ0000331,BBG001S5QDZ0,DUCOMMUN INC
EQ0000332,BBG001S5QFF7,DEERE & CO
EQ0000333,BBG001S5QFN8,LG H&H
EQ0000334,BBG001S5QG38,GEN DIGITAL INC
EQ0000335,BBG001S5QG83,WINTIME ENERGY GROUP CO L-A
EQ0000336,BBG001S5QGT0,DANAHER CORP
EQ0000337,BBG001S5QHC6,CHANG HWA COMMERCIAL BANK
EQ0000338,BBG001S5QHF3,WALT DISNEY CO/THE
EQ0000339,BBG001S5QHJ9,BOUGAINVILLE COPPER LTD
EQ0000340,BBG001S5QHM5,DAILY JOURNAL CORP
EQ0000341,BBG001S5QHR0,CHENG LOONG CORP
EQ0000342,BBG001S5QJ69,DELUXE CORP
EQ0000343,BBG001S5QJZ7,MOUNTAIN PROVINCE DIAMONDS
EQ0000344,BBG001S5QKB0,AGRISTAR INC
EQ0000345,BBG001S5QL46,DOVER CORP
EQ0000346,BBG001S5QL91,HERALD HOLDINGS LTD
EQ0000347,BBG001S5QLH2,MARUFUJI SHEET PILING CO LTD
EQ0000348,BBG001S5QLN5,EP MANUFACTURING BERHAD
EQ0000349,BBG001S5QM08,DARDEN RESTAURANTS INC
EQ0000350,BBG001S5QMM4,SAO PAULO TURISMO SA
EQ0000351,BBG001S5QN88,DTE ENERGY COMPANY
EQ0000352,BBG001S5QN97,SUGAL & DAMANI SHARE BROKERS
EQ0000353,BBG001S5QNJ6,OREX MINERALS INC
EQ0000354,BBG001S5QNR7,DUKE ENERGY CORP
EQ0000355,BBG001S5QNY9,PERPETUAL LTD
EQ0000357,BBG001S5QPC8,DAXOR CORP
EQ0000358,BBG001S5QPG4,DIXIE GROUP INC
EQ0000359,BBG001S5QPV7,DYNATRONICS CORP
EQ0000361,BBG001S5QQ27,TVI PACIFIC INC
EQ0000362,BBG001S5QQS9,ENNIS INC
EQ0000363,BBG001S5QQV5,CHIA HSIN CEMENT
EQ0000364,BBG001S5QR34,ALLIANCE NICKEL LTD
EQ0000365,BBG001S5QRB5,ECOLAB INC
EQ0000366,BBG001S5QRC4,SKANDINAVISKA ENSKILDA BAN-A
EQ0000367,BBG001S5QRL4,CONSOLIDATED EDISON INC
EQ0000368,BBG001S5QRR8,ERIN ENERGY CORP
EQ0000369,BBG001S5QRX1,ENERGIAS DE PORTUGAL-SP ADR
EQ0000370,BBG001S5QS05,EDUCATIONAL DEVELOPMENT CORP
EQ0000371,BBG001S5QS41,HEINEKEN MALAYSIA BHD
EQ0000372,BBG001S5QSK3,EQUIFAX INC
EQ0000373,BBG001S5QSS5,SINOCHEM INTL CORP-A
EQ0000374,BBG001S5QSY8,MIZUNO CORP
EQ0000375,BBG001S5QT03,EASTGROUP PROPERTIES INC
EQ0000376,BBG001S5QT58,JK HOLDINGS CO LTD
EQ0000377,BBG001S5QTK1,HATSUN AGRO PRODUCT LTD
EQ0000378,BBG001S5QTV9,ELECTRIC & GAS TECH INC
EQ0000379,BBG001S5QVB6,NICCO PARKS & RESORTS LTD
EQ0000380,BBG001S5QVC5,TOKYO ELECTRON LTD
EQ0000381,BBG001S5QVG1,EMCOR GROUP INC
EQ0000382,BBG001S5QVN3,NORTH MINING SHARES CO LTD
EQ0000383,BBG001S5QVP1,EASTERN CO/THE
EQ0000384,BBG001S5QVS8,EMPIRE PETROLEUM CORP
EQ0000385,BBG001S5QVT7,EMERSON ELECTRIC CO
EQ0000386,BBG001S5QW79,SOLITARIO RESOURCES CORP
EQ0000387,BBG001S5QWJ6,KAY POWER & PAPER LTD.
EQ0000388,BBG001S5QWR7,VISKASE HOLDINGS INC
EQ0000390,BBG001S5QXN9,STAMPER OIL & GAS CORP
EQ0000391,BBG001S5QXT3,ERICSSON (LM) TEL-SP ADR
EQ0000392,BBG001S5QXV0,ERIE INDEMNITY COMPANY-CL A
EQ0000393,BBG001S5QY11,ESCALADE INC
EQ0000394,BBG001S5QY93,ITT EDUCATIONAL SERVICES INC
EQ0000395,BBG001S5QYG5,ESPEY MFG & ELECTRONICS CORP
EQ0000396,BBG001S5QYQ4,DEUTSCHE REAL ESTATE
EQ0000397,BBG001S5QYS2,ELECTR TELE-COMMUNCTN
EQ0000398,BBG001S5QYW7,ISLET HOLDINGS INC
EQ0000399,BBG001S5QZ09,U.S. GLOBAL INVESTORS INC-A
EQ0000400,BBG001S5QZ36,JCR PHARMACEUTICALS CO LTD
EQ0000401,BBG001S5QZ45,EATON CORP PLC
EQ0000402,BBG001S5QZM5,IDEX BIOMETRICS ASA
EQ0000403,BBG001S5QZZ1,EXPEDITORS INTL WASH INC
EQ0000404,BBG001S5R005,NEWMARKET CORP
EQ0000405,BBG001S5R078,DYNEX CAPITAL INC
EQ0000406,BBG001S5R0C2,KINROSS GOLD CORP
EQ0000407,BBG001S5R0D1,OUG HOLDINGS INC
EQ0000408,BBG001S5R103,TRAVELERS COS INC/THE
EQ0000409,BBG001S5R112,FUJICCO CO LTD
EQ0000410,BBG001S5R121,FURUKAWA ELECTRIC CO LTD
EQ0000411,BBG001S5R194,WEST BANCORPORATION
EQ0000412,BBG001S5R1F7,FASTENAL CO
EQ0000413,BBG001S5R1Q5,FNB CORP
EQ0000414,BBG001S5R1Z5,FIRST BANCORP/NC
EQ0000415,BBG001S5R238,FIRST BANCSHARES INC (MO)
EQ0000416,BBG001S5R2C8,FIRST CAPITAL INC
EQ0000418,BBG001S5R2R2,NATIONAL AUSTRALIA BANK LTD
EQ0000419,BBG001S5R2V7,FIRST CITIZENS BCSHS  -CL A
EQ0000421,BBG001S5R3F3,FREEPORT-MCMORAN INC
EQ0000422,BBG001S5R3M5,FEDEX CORP
EQ0000423,BBG001S5R3N4,FIRSTENERGY CORP
EQ0000424,BBG001S5R3V5,FREQUENCY ELECTRONICS INC
EQ0000425,BBG001S5R3W4,FRANKLIN ELECTRIC CO INC
EQ0000426,BBG001S5R4C4,FIRST FINANCIAL BANCORP
EQ0000427,BBG001S5R522,MCPHERSON'S LTD
EQ0000428,BBG001S5R540,FFP PARTNERS  -LP-CL A
EQ0000429,BBG001S5R6Q4,FISERV INC
EQ0000430,BBG001S5R6S2,FIFTH THIRD BANCORP
EQ0000431,BBG001S5R7L7,FLOWERS FOODS INC
EQ0000432,BBG001S5R7T9,SHIN-ETSU POLYMER CO LTD
EQ0000433,BBG001S5R7X4,ENSHU TRUCK CO LTD
EQ0000434,BBG001S5R835,FLEXSTEEL INDS
EQ0000435,BBG001S5R880,FMC CORP
EQ0000436,BBG001S5R8W3,FANNIE MAE
EQ0000437,BBG001S5R9G9,FORESTAR GROUP INC
EQ0000438,BBG001S5R9H8,FORWARD INDUSTRIES INC
EQ0000439,BBG001S5RB29,NEXTERA ENERGY INC
EQ0000440,BBG001S5RBB9,SUMITOMO CORP
EQ0000441,BBG001S5RBD7,KWONG FONG INDUSTRIES
EQ0000442,BBG001S5RBF5,REPUBLIC FIRST BANCORP INC
EQ0000443,BBG001S5RBJ1,FRIEDMAN INDUSTRIES
EQ0000444,BBG001S5RC36,FEDERAL REALTY INVS TRUST
