symbol,name_english,name_arabic,isin,exchange,country,country_code,sector_code,sector_name_english,sector_name_arabic,market_code,instrument_type,status,logo_url
AGILITY,Agility Global PLC,أجيليتي جلوبال بي ال سي,AEE01376A248,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3111593
AGIX,KraneShares Artificial Intelligence & Technology ETF,صندوق كرين شيرز للذكاء الاصطناعي والتقنية المتداول في البورصة,US5007673636,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4622348
AGTHIA,AGTHIA Group,مجموعة أغذية,AEA001901015,ADX,United Arab Emirates,AE,3,Consumer Staples,السلع الاستهـلاكية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1077334
AIPOWR,Boreas S&P AI Data Power & Infrastructure UCITS ETF - AED (Dist),صندوق بورياس ستاندرد اند بورز لبيانات الذكاء الاصطناعي الطاقة والبنية التحتية يوسيتس المتداول بالدرهم الاماراتي – ذات العائد الموزع,IE000591PJN0,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4608684
AKIC,Al Khazna Insurance Co,شركة الخزنة للتأمين,AEA000401017,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950663
ALAIN,Al Ain Alahlia Insurance Co,شركة العين اﻷهلية للتأمين,AEA000101013,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992712
ALDAR,Aldar Properties PJSC,الدار العقارية,AEA002001013,ADX,United Arab Emirates,AE,5,Real Estate,العقارات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066680
ALEFEDT,ALEF EDUCATION HOLDING PLC,شركةألف للتعليم القابضة بي ال سي,AEE01388A243,ADX,United Arab Emirates,AE,15,Technology,التكنولوجيا,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/3161824
ALPHADATA,ALPHA DATA PJSC,ألفا داتا ش م ع,AEE01575A252,ADX,United Arab Emirates,AE,15,Technology,التكنولوجيا,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/4286987
ALPHADHABI,ALPHA DHABI HOLDING PJSC,الفا ظبي القابضة ش م ع,AEA007601015,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2365256
AMR,AMERICANA RESTAURANTS INTERNATIONAL PLC,شركة أمريكانا للمطاعم العالمبة بي ال سي,AEE01135A222,ADX,United Arab Emirates,AE,13,Consumer Discretionary,السلع الاستهلاكية التقديرية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2660858
ANAN,ANAN INVESTMENT HOLDING P.J.S.C,عنان لﻼ ستثمار القابضة ش.م.خ,AEW000201015,ADX,United Arab Emirates,AE,5,Real Estate,العقارات,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1200310
APEX,APEX INVESTMENT P.S.C,ايبيكس لﻼستثمار ش.م.ع,AER000401011,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950675
ARAM,Aram Group,مجموعة أرام,AES000601014,ADX,United Arab Emirates,AE,5,Real Estate,العقارات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1081190
ASM,Al Seer Marine Supplies & Equipment Company P.J.S.C,شركة الصير للمعدات والتوريدات البحرية ش م خ,AEA007701013,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,517,Preference,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2361886
AWNIC,Al Wathba National Insurance Co,شركة الوثبة الوطنية للتأمين,AEA001601011,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/951104
BILDCO,Abu Dhabi National Co. for Building Materials,شركة أبوظبي الوطنية لمواد البناء,AEA000501014,ADX,United Arab Emirates,AE,6,Industrial,الصناعات,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/950664
BONDAE,Lunate JP Morgan UAE Bond UCITS ETF, صندوق لونيت جي بي مورغان سند الامارات يوستس المتداول ,IE000AUWE6L4,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
BOROUGE,Borouge PLC,شركة بروج بي ال سي,AEE01072B225,ADX,United Arab Emirates,AE,12,Basic Materials,المواد الأساسية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2530106
BOS,Bank Of Sharjah,بنك الشارقة,AEB000101011,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/992715
BURJEEL,BURJEEL HOLDINGS PLC,برجيل القابضة بي ال سي,AEE01119B224,ADX,United Arab Emirates,AE,11,Health Care,الرعاية الصحية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/2692522
CBI,Commercial Bank International,البنك التجاري الدولي,AEC000101019,ADX,United Arab Emirates,AE,1,Financials,المالية,510,Equity,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/1066687
CHADX15,Lunate FTSE ADX 15 ETF,صندوق لونيت سوق أبوظبي للأوراق المالية 15 المتداول,AEC01137C226,ADX,United Arab Emirates,AE,0,Other,آخر,515,Fund,Listed,https://apigateway.adx.ae/adx/cdn/1.0/content/download/5021948
